epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,262.861,1.3927,3.3093,1.11085,0.44365,0.14133,0.15831,0.10749,1.34739,3.24517,1.14234,2.25946e-05,2.25946e-05,2.25946e-05
41,268.245,1.4157,3.26783,1.09321,0.47178,0.14619,0.16524,0.11076,1.34501,3.20336,1.14195,2.2456e-05,2.2456e-05,2.2456e-05
42,273.982,1.38306,3.2042,1.08806,0.46229,0.15337,0.16941,0.11466,1.34566,3.16156,1.14118,2.23174e-05,2.23174e-05,2.23174e-05
43,279.559,1.38568,3.16201,1.07918,0.45406,0.15672,0.16992,0.11506,1.34041,3.12665,1.13935,2.21788e-05,2.21788e-05,2.21788e-05
44,284.63,1.37687,3.06467,1.10566,0.44445,0.16328,0.17281,0.11734,1.33711,3.05684,1.1368,2.20402e-05,2.20402e-05,2.20402e-05
45,290.444,1.40434,3.00635,1.10227,0.45297,0.16999,0.17597,0.11992,1.3337,3.02888,1.13509,2.19016e-05,2.19016e-05,2.19016e-05
46,295.816,1.39109,3.04523,1.08674,0.45715,0.17493,0.18477,0.1251,1.33631,2.99362,1.13526,2.1763e-05,2.1763e-05,2.1763e-05
47,301.748,1.40106,2.94564,1.09145,0.45704,0.18053,0.19087,0.12889,1.3432,2.95003,1.13813,2.16244e-05,2.16244e-05,2.16244e-05
48,306.89,1.37163,2.86775,1.082,0.45255,0.18262,0.19659,0.1328,1.34026,2.86756,1.13778,2.14858e-05,2.14858e-05,2.14858e-05
49,311.949,1.34207,2.84752,1.08776,0.43053,0.19805,0.19865,0.13412,1.33884,2.84055,1.13776,2.13472e-05,2.13472e-05,2.13472e-05
50,318.206,1.38882,2.74611,1.07311,0.45165,0.20087,0.20157,0.1358,1.3345,2.81649,1.13538,2.12086e-05,2.12086e-05,2.12086e-05
51,323.17,1.38416,2.827,1.06421,0.45326,0.20535,0.20681,0.13969,1.33359,2.80701,1.13429,2.107e-05,2.107e-05,2.107e-05
52,328.843,1.40495,2.67309,1.07751,0.45892,0.2069,0.21196,0.14468,1.33865,2.78084,1.13472,2.09314e-05,2.09314e-05,2.09314e-05
53,333.677,1.34776,2.62782,1.07963,0.45984,0.20476,0.21878,0.14939,1.3375,2.76614,1.13247,2.07928e-05,2.07928e-05,2.07928e-05
54,338.781,1.34589,2.56999,1.06995,0.45816,0.2059,0.22311,0.15237,1.32926,2.75925,1.12739,2.06542e-05,2.06542e-05,2.06542e-05
55,344.798,1.35383,2.64396,1.05854,0.47145,0.20794,0.22469,0.15397,1.32042,2.75488,1.12319,2.05156e-05,2.05156e-05,2.05156e-05
56,349.708,1.35428,2.54492,1.07398,0.49027,0.20897,0.23039,0.1575,1.31297,2.69256,1.12374,2.0377e-05,2.0377e-05,2.0377e-05
57,355.692,1.35333,2.39859,1.08025,0.49276,0.21926,0.23428,0.15952,1.30811,2.64972,1.12332,2.02384e-05,2.02384e-05,2.02384e-05
58,361.115,1.3712,2.47177,1.07124,0.46584,0.23072,0.23914,0.16436,1.30671,2.62197,1.12378,2.00998e-05,2.00998e-05,2.00998e-05
59,366.179,1.33883,2.44743,1.11324,0.4758,0.23766,0.24577,0.16899,1.30724,2.58328,1.12459,1.99612e-05,1.99612e-05,1.99612e-05
60,372.148,1.33454,2.44351,1.07344,0.48532,0.24037,0.2501,0.1726,1.29943,2.54721,1.12111,1.98226e-05,1.98226e-05,1.98226e-05
61,377.108,1.34495,2.35141,1.05796,0.499,0.23776,0.25521,0.17638,1.30065,2.53017,1.12048,1.9684e-05,1.9684e-05,1.9684e-05
62,382.858,1.31948,2.37646,1.06686,0.49764,0.24088,0.25769,0.17751,1.30192,2.52309,1.12092,1.95454e-05,1.95454e-05,1.95454e-05
63,388.108,1.34227,2.415,1.05892,0.50922,0.24855,0.26111,0.17955,1.30575,2.51342,1.12187,1.94068e-05,1.94068e-05,1.94068e-05
64,394.111,1.29728,2.21146,1.07958,0.50626,0.25504,0.26517,0.18149,1.30946,2.46418,1.12367,1.92682e-05,1.92682e-05,1.92682e-05
65,399.532,1.30258,2.14558,1.06297,0.50585,0.25819,0.26885,0.18416,1.30268,2.45212,1.12113,1.91296e-05,1.91296e-05,1.91296e-05
66,405.001,1.33033,2.17778,1.05878,0.52067,0.25878,0.2773,0.19181,1.298,2.42017,1.11863,1.8991e-05,1.8991e-05,1.8991e-05
67,410.906,1.31077,2.18079,1.04995,0.52586,0.26069,0.28797,0.19905,1.29991,2.39899,1.11856,1.88524e-05,1.88524e-05,1.88524e-05
68,415.979,1.30774,2.18165,1.06189,0.51125,0.2576,0.29083,0.1999,1.3115,2.35042,1.12243,1.87138e-05,1.87138e-05,1.87138e-05
69,421.949,1.30283,2.17745,1.05578,0.49039,0.26489,0.29437,0.20095,1.31618,2.32882,1.12436,1.85752e-05,1.85752e-05,1.85752e-05
