epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,535.185,1.03805,0.87062,1.12862,0.80998,0.72238,0.79063,0.58645,0.9809,0.67385,1.13816,2.50618e-05,2.50618e-05,2.50618e-05
40,548.61,1.04436,0.89843,1.13311,0.79564,0.74519,0.79988,0.59514,0.97492,0.66422,1.13765,2.49112e-05,2.49112e-05,2.49112e-05
41,562.079,1.0199,0.867,1.12013,0.80098,0.75332,0.80128,0.59382,0.97944,0.65875,1.13826,2.47574e-05,2.47574e-05,2.47574e-05
42,575.034,1.02497,0.86841,1.11429,0.81499,0.74839,0.80935,0.60441,0.96726,0.64502,1.13204,2.46003e-05,2.46003e-05,2.46003e-05
43,588.47,1.02506,0.8506,1.12043,0.76897,0.77983,0.80977,0.59853,0.97622,0.63927,1.12684,2.444e-05,2.444e-05,2.444e-05
44,601.462,1.02778,0.85193,1.11443,0.79434,0.78115,0.81247,0.61016,0.96512,0.63243,1.12265,2.42766e-05,2.42766e-05,2.42766e-05
45,614.895,0.9928,0.82127,1.10608,0.81525,0.76123,0.81627,0.60599,0.9836,0.63186,1.14519,2.411e-05,2.411e-05,2.411e-05
46,627.829,0.99572,0.83327,1.10909,0.83592,0.75635,0.82674,0.62265,0.95287,0.62041,1.12572,2.39405e-05,2.39405e-05,2.39405e-05
47,641.356,1.01467,0.8359,1.10085,0.84003,0.75085,0.82992,0.62298,0.96074,0.60828,1.1302,2.3768e-05,2.3768e-05,2.3768e-05
48,654.854,0.98857,0.79639,1.10107,0.83846,0.7629,0.82732,0.62559,0.95925,0.60792,1.1249,2.35925e-05,2.35925e-05,2.35925e-05
49,668.386,0.99959,0.82136,1.10122,0.83355,0.76237,0.82819,0.62667,0.94818,0.60558,1.11746,2.34142e-05,2.34142e-05,2.34142e-05
50,681.841,1.00773,0.82162,1.1108,0.84188,0.76369,0.82839,0.62383,0.96178,0.60441,1.12749,2.3233e-05,2.3233e-05,2.3233e-05
51,694.86,0.99083,0.79097,1.09789,0.8236,0.78684,0.83305,0.62882,0.94218,0.59954,1.11836,2.3049e-05,2.3049e-05,2.3049e-05
52,708.42,0.97349,0.78211,1.08899,0.79224,0.8073,0.83968,0.6375,0.94061,0.59197,1.11371,2.28624e-05,2.28624e-05,2.28624e-05
53,721.86,0.98267,0.80302,1.10616,0.82465,0.78295,0.84281,0.63821,0.945,0.59141,1.11762,2.26731e-05,2.26731e-05,2.26731e-05
54,735.231,0.97453,0.77679,1.09197,0.79852,0.81227,0.85029,0.6461,0.93927,0.58307,1.11533,2.24812e-05,2.24812e-05,2.24812e-05
55,748.678,0.98284,0.76563,1.09384,0.80584,0.81563,0.84937,0.64799,0.92444,0.57139,1.10951,2.22867e-05,2.22867e-05,2.22867e-05
56,762.151,0.98388,0.78206,1.10297,0.7971,0.81796,0.84811,0.64859,0.92541,0.57235,1.10521,2.20898e-05,2.20898e-05,2.20898e-05
57,775.617,0.98656,0.76545,1.0897,0.83925,0.78847,0.84471,0.64309,0.9381,0.57411,1.1115,2.18904e-05,2.18904e-05,2.18904e-05
58,788.626,0.97562,0.75501,1.08786,0.83627,0.79675,0.85172,0.65061,0.92745,0.56641,1.10602,2.16887e-05,2.16887e-05,2.16887e-05
