                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.5248,                  5.713,                 1.0968,                0.00854,                0.03707,                0.01005,                0.00711,                 1.3719,                 5.5319,                 1.0755,             1.9407e-05,             1.9407e-05,             1.9407e-05
                     34,                 1.5122,                 5.6478,                  1.102,                0.00809,                0.03814,                0.01033,                0.00724,                 1.3689,                 5.5198,                 1.0742,              1.913e-05,              1.913e-05,              1.913e-05
                     35,                 1.5394,                 5.6632,                 1.0924,                0.00776,                0.03808,                0.01038,                0.00724,                 1.3648,                 5.5033,                  1.072,             1.8852e-05,             1.8852e-05,             1.8852e-05
                     36,                 1.5869,                 5.6781,                 1.1116,                0.00792,                0.04126,                0.01086,                0.00741,                 1.3618,                  5.502,                 1.0718,             1.8575e-05,             1.8575e-05,             1.8575e-05
                     37,                 1.5431,                 5.6635,                 1.0955,                0.00877,                0.04099,                0.01143,                0.00779,                 1.3646,                 5.4793,                   1.07,             1.8298e-05,             1.8298e-05,             1.8298e-05
                     38,                 1.5691,                 5.6702,                 1.0918,                0.00894,                0.04279,                0.01185,                0.00805,                   1.37,                 5.4601,                 1.0681,             1.8021e-05,             1.8021e-05,             1.8021e-05
                     39,                 1.5351,                 5.6183,                 1.0827,                0.00905,                0.04484,                0.01248,                0.00846,                 1.3723,                 5.4439,                 1.0663,             1.7744e-05,             1.7744e-05,             1.7744e-05
                     40,                 1.5334,                 5.5929,                 1.0866,                0.00856,                0.04638,                0.01277,                0.00869,                 1.3729,                 5.4336,                 1.0658,             1.7466e-05,             1.7466e-05,             1.7466e-05
                     41,                 1.5101,                 5.5546,                 1.0923,                0.00851,                0.04721,                0.01299,                0.00882,                 1.3698,                 5.4289,                 1.0653,             1.7189e-05,             1.7189e-05,             1.7189e-05
                     42,                  1.577,                 5.5855,                 1.0877,                0.00859,                0.04851,                0.01332,                0.00902,                 1.3676,                 5.4235,                 1.0638,             1.6912e-05,             1.6912e-05,             1.6912e-05
                     43,                 1.5271,                 5.5816,                 1.0965,                0.00861,                0.04962,                0.01351,                0.00911,                 1.3671,                 5.4116,                 1.0634,             1.6635e-05,             1.6635e-05,             1.6635e-05
                     44,                 1.5402,                 5.5808,                 1.0749,                0.00933,                0.05102,                0.01455,                0.00983,                 1.3637,                  5.387,                 1.0603,             1.6358e-05,             1.6358e-05,             1.6358e-05
                     45,                 1.5083,                  5.575,                 1.0795,                0.00947,                0.05247,                0.01517,                0.01037,                 1.3627,                  5.371,                 1.0592,              1.608e-05,              1.608e-05,              1.608e-05
                     46,                 1.5558,                 5.5379,                 1.0963,                0.00973,                0.05377,                0.01581,                0.01082,                 1.3658,                 5.3586,                 1.0604,             1.5803e-05,             1.5803e-05,             1.5803e-05
                     47,                 1.5028,                 5.5184,                 1.0865,                0.00972,                0.05443,                 0.0161,                0.01094,                 1.3673,                 5.3419,                 1.0604,             1.5526e-05,             1.5526e-05,             1.5526e-05
                     48,                 1.5147,                 5.4934,                 1.0763,                0.00942,                0.05521,                0.01632,                0.01109,                 1.3665,                 5.3415,                 1.0602,             1.5249e-05,             1.5249e-05,             1.5249e-05
                     49,                 1.4851,                 5.5056,                 1.0778,                 0.0092,                0.05554,                0.01653,                0.01117,                 1.3667,                 5.3351,                 1.0598,             1.4972e-05,             1.4972e-05,             1.4972e-05
